Node,nxc,nyc,Node_new
1422,8.535,54.575,386
1424,8.715,54.575,387
1439,10.065,54.575,388
1440,10.155,54.575,389
1441,10.245000000000001,54.575,390
1442,10.335,54.575,391
1443,10.425,54.575,392
1444,10.515,54.575,393
1445,10.605,54.575,394
1446,10.695,54.575,395
1447,10.785,54.575,396
1448,10.875,54.575,397
1449,10.965,54.575,398
1450,11.055,54.575,399
1451,11.145,54.575,400
1452,11.235,54.575,401
1453,11.325,54.575,402
1454,11.415,54.575,403
1455,11.504999999999999,54.575,404
1460,11.955,54.575,405
1461,12.045,54.575,406
1462,12.135,54.575,407
1463,12.225,54.575,408
1464,12.315,54.575,409
1465,12.405000000000001,54.575,410
1466,12.495000000000001,54.575,411
1467,12.585,54.575,412
1468,12.675,54.575,413
1469,12.765,54.575,414
1470,12.855,54.575,415
1471,12.945,54.575,416
1472,13.035,54.575,417
1473,13.125,54.575,418
1476,13.395,54.575,419
1477,13.485,54.575,420
1478,13.575,54.575,421
1479,13.665,54.575,422
1480,13.754999999999999,54.575,423
1481,13.844999999999999,54.575,424
1482,13.934999999999999,54.575,425
1483,14.024999999999999,54.575,426
1484,14.114999999999998,54.575,427
1485,14.205,54.575,428
1486,14.295,54.575,429
1487,14.385,54.575,430
1488,14.475,54.575,431
1489,14.565,54.575,432
1490,14.655,54.575,433
1491,14.745000000000001,54.575,434
1492,14.835,54.575,435
1493,14.925,54.575,436
1494,7.545,54.665,437
1495,7.635,54.665,438
1496,7.725,54.665,439
1497,7.815,54.665,440
1498,7.905,54.665,441
1499,7.995,54.665,442
1500,8.085,54.665,443
1501,8.175,54.665,444
1502,8.265,54.665,445
1503,8.355,54.665,446
1504,8.445,54.665,447
1505,8.535,54.665,448
1506,8.625,54.665,449
1522,10.065,54.665,450
1523,10.155,54.665,451
1524,10.245000000000001,54.665,452
1525,10.335,54.665,453
1526,10.425,54.665,454
1527,10.515,54.665,455
1528,10.605,54.665,456
1529,10.695,54.665,457
1530,10.785,54.665,458
1531,10.875,54.665,459
1532,10.965,54.665,460
1533,11.055,54.665,461
1534,11.145,54.665,462
1535,11.235,54.665,463
1536,11.325,54.665,464
1537,11.415,54.665,465
1544,12.045,54.665,466
1545,12.135,54.665,467
1546,12.225,54.665,468
1547,12.315,54.665,469
1548,12.405000000000001,54.665,470
1549,12.495000000000001,54.665,471
1550,12.585,54.665,472
1551,12.675,54.665,473
1552,12.765,54.665,474
1553,12.855,54.665,475
1554,12.945,54.665,476
1555,13.035,54.665,477
1556,13.125,54.665,478
1557,13.215,54.665,479
1558,13.305,54.665,480
1559,13.395,54.665,481
1560,13.485,54.665,482
1561,13.575,54.665,483
1562,13.665,54.665,484
1563,13.754999999999999,54.665,485
1564,13.844999999999999,54.665,486
1565,13.934999999999999,54.665,487
1566,14.024999999999999,54.665,488
1567,14.114999999999998,54.665,489
1568,14.205,54.665,490
1569,14.295,54.665,491
1570,14.385,54.665,492
1571,14.475,54.665,493
1572,14.565,54.665,494
1573,14.655,54.665,495
1574,14.745000000000001,54.665,496
1575,14.835,54.665,497
1576,14.925,54.665,498
1577,7.545,54.755,499
1578,7.635,54.755,500
1579,7.725,54.755,501
1580,7.815,54.755,502
1581,7.905,54.755,503
1582,7.995,54.755,504
1583,8.085,54.755,505
1584,8.175,54.755,506
1585,8.265,54.755,507
1586,8.355,54.755,508
1589,8.625,54.755,509
1590,8.715,54.755,510
1598,9.435,54.755,511
1604,9.975,54.755,512
1605,10.065,54.755,513
1606,10.155,54.755,514
1607,10.245000000000001,54.755,515
1608,10.335,54.755,516
1609,10.425,54.755,517
1610,10.515,54.755,518
1611,10.605,54.755,519
1612,10.695,54.755,520
1613,10.785,54.755,521
1614,10.875,54.755,522
1615,10.965,54.755,523
1616,11.055,54.755,524
1624,11.774999999999999,54.755,525
1625,11.865,54.755,526
1628,12.135,54.755,527
1629,12.225,54.755,528
1630,12.315,54.755,529
1631,12.405000000000001,54.755,530
1632,12.495000000000001,54.755,531
1633,12.585,54.755,532
1634,12.675,54.755,533
1635,12.765,54.755,534
1636,12.855,54.755,535
1637,12.945,54.755,536
1638,13.035,54.755,537
1639,13.125,54.755,538
1640,13.215,54.755,539
1641,13.305,54.755,540
1642,13.395,54.755,541
1643,13.485,54.755,542
1644,13.575,54.755,543
1645,13.665,54.755,544
1646,13.754999999999999,54.755,545
1647,13.844999999999999,54.755,546
1648,13.934999999999999,54.755,547
1649,14.024999999999999,54.755,548
1650,14.114999999999998,54.755,549
1651,14.205,54.755,550
1652,14.295,54.755,551
1653,14.385,54.755,552
1654,14.475,54.755,553
1655,14.565,54.755,554
1656,14.655,54.755,555
1657,14.745000000000001,54.755,556
1658,14.835,54.755,557
1659,14.925,54.755,558
1660,7.545,54.845,559
1661,7.635,54.845,560
1662,7.725,54.845,561
1663,7.815,54.845,562
1664,7.905,54.845,563
1665,7.995,54.845,564
1666,8.085,54.845,565
1667,8.175,54.845,566
1668,8.265,54.845,567
1681,9.435,54.845,568
1682,9.525,54.845,569
1683,9.615,54.845,570
1684,9.705,54.845,571
1685,9.795,54.845,572
1686,9.885,54.845,573
1687,9.975,54.845,574
1688,10.065,54.845,575
1689,10.155,54.845,576
1690,10.245000000000001,54.845,577
1691,10.335,54.845,578
1692,10.425,54.845,579
1693,10.515,54.845,580
1696,10.785,54.845,581
1697,10.875,54.845,582
1698,10.965,54.845,583
1699,11.055,54.845,584
1700,11.145,54.845,585
1707,11.774999999999999,54.845,586
1711,12.135,54.845,587
1712,12.225,54.845,588
1713,12.315,54.845,589
1714,12.405000000000001,54.845,590
1715,12.495000000000001,54.845,591
1716,12.585,54.845,592
1717,12.675,54.845,593
1718,12.765,54.845,594
1719,12.855,54.845,595
1720,12.945,54.845,596
1721,13.035,54.845,597
1722,13.125,54.845,598
1723,13.215,54.845,599
1724,13.305,54.845,600
1725,13.395,54.845,601
1726,13.485,54.845,602
1727,13.575,54.845,603
1728,13.665,54.845,604
1729,13.754999999999999,54.845,605
1730,13.844999999999999,54.845,606
1731,13.934999999999999,54.845,607
1732,14.024999999999999,54.845,608
1733,14.114999999999998,54.845,609
1734,14.205,54.845,610
1735,14.295,54.845,611
1736,14.385,54.845,612
1737,14.475,54.845,613
1738,14.565,54.845,614
1739,14.655,54.845,615
1740,14.745000000000001,54.845,616
1741,14.835,54.845,617
1742,14.925,54.845,618
1743,7.545,54.935,619
1744,7.635,54.935,620
1745,7.725,54.935,621
1746,7.815,54.935,622
1747,7.905,54.935,623
1748,7.995,54.935,624
1749,8.085,54.935,625
1750,8.175,54.935,626
1751,8.265,54.935,627
1752,8.355,54.935,628
1767,9.705,54.935,629
1768,9.795,54.935,630
1771,10.065,54.935,631
1772,10.155,54.935,632
1773,10.245000000000001,54.935,633
1774,10.335,54.935,634
1780,10.875,54.935,635
1781,10.965,54.935,636
1782,11.055,54.935,637
1788,11.594999999999999,54.935,638
1789,11.684999999999999,54.935,639
1790,11.774999999999999,54.935,640
